SiteName,Site#_JS,Site#_CER,Plot#_JS,Habitat,TagID,Species,Set#,BagLocation,InitialWt_Air,SpConvFactor,InitialDeploy_Date,InitialWt_Oven,InitialNotes,HarvestNo,Harvest_Date,HarvestWt_Oven,HarvestNotes,PropInitMass,Days,Years,SitexHabitatxSp,ID_sihasp,ID
Cattle Pond,2,2,3&4,wet,1015,BEB,3,3,3.028,0.921439936,11/27/10,2.79,,5,,,missing sample,NA,NA,NA,2wetBEB,20,4
Cattle Pond,2,2,3&4,wet,1016,BEB,3,3,3.066,0.921439936,11/27/10,2.825,,6,,,missing sample,NA,NA,NA,2wetBEB,20,4
N Peterson Marsh,3,3,5&6,wet,1042,BEB,7,4,3.003,0.921439936,11/27/10,2.767,,1,4/29/11,2.3281,,0.841354976,153,0.419178082,3wetBEB,21,4
N Peterson Marsh,3,3,5&6,wet,1037,BEB,7,4,3.009,0.921439936,11/27/10,2.773,,2,5/26/11,2.527,,0.911414688,180,0.493150685,3wetBEB,21,4
N Peterson Marsh,3,3,5&6,wet,1041,BEB,7,4,3.031,0.921439936,11/27/10,2.793,,3,8/3/11,1.564,,0.559994525,249,0.682191781,3wetBEB,21,4
N Peterson Marsh,3,3,5&6,wet,1040,BEB,7,4,3.013,0.921439936,11/27/10,2.776,,4,9/27/11,1.59,,0.572704982,304,0.832876712,3wetBEB,21,4
N Peterson Marsh,3,3,5&6,wet,1039,BEB,7,4,3.023,0.921439936,11/27/10,2.786,,5,10/2/12,1.346,,0.483214415,675,1.849315068,3wetBEB,21,4
N Peterson Marsh,3,3,5&6,wet,1038,BEB,7,4,3.025,0.921439936,11/27/10,2.787,,6,9/20/13,1.199,,0.43015678,1028,2.816438356,3wetBEB,21,4
N Peterson Marsh,3,4,7&8,wet,1072,BEB,12,8,3.027,0.921439936,11/27/10,2.789,,1,4/29/11,2.3599,,0.846085297,153,0.419178082,4wetBEB,22,4
N Peterson Marsh,3,4,7&8,wet,1067,BEB,12,8,3.025,0.921439936,11/27/10,2.787,,2,5/26/11,2.1664,,0.777224061,180,0.493150685,4wetBEB,22,4
N Peterson Marsh,3,4,7&8,wet,1071,BEB,12,8,3.028,0.921439936,11/27/10,2.79,,3,8/3/11,1.637,,0.58671309,249,0.682191781,4wetBEB,22,4
N Peterson Marsh,3,4,7&8,wet,1068,BEB,12,8,3.028,0.921439936,11/27/10,2.79,,4,9/27/11,1.578,,0.565567047,304,0.832876712,4wetBEB,22,4
N Peterson Marsh,3,4,7&8,wet,1070,BEB,12,8,3.064,0.921439936,11/27/10,2.823,,5,10/2/12,1.461,,0.517481018,675,1.849315068,4wetBEB,22,4
N Peterson Marsh,3,4,7&8,wet,1069,BEB,12,8,3.027,0.921439936,11/27/10,2.789,,6,9/20/13,1.311,,0.470027469,1028,2.816438356,4wetBEB,22,4
Lawrence Strip,4,5,9,wet,1012,BEB,2,1,3.008,0.921439936,11/27/10,2.772,,1,4/29/11,2.2892,,0.825921695,153,0.419178082,5wetBEB,23,4
Lawrence Strip,4,5,9,wet,1007,BEB,2,1,3.025,0.921439936,11/27/10,2.787,,2,5/26/11,2.1493,,0.771089214,180,0.493150685,5wetBEB,23,4
Lawrence Strip,4,5,9,wet,1008,BEB,2,1,3.061,0.921439936,11/27/10,2.821,,3,8/1/11,1.526,,0.54103352,247,0.676712329,5wetBEB,23,4
Lawrence Strip,4,5,9,wet,1011,BEB,2,1,3.035,0.921439936,11/27/10,2.797,,4,9/27/11,1.386,,0.495607082,304,0.832876712,5wetBEB,23,4
Lawrence Strip,4,5,9,wet,1009,BEB,2,1,3.065,0.921439936,11/27/10,2.824,,5,10/1/12,1.223,,0.43304093,674,1.846575342,5wetBEB,23,4
Lawrence Strip,4,5,9,wet,1010,BEB,2,1,3.018,0.921439936,11/27/10,2.781,,6,9/20/13,1.372,,0.493364441,1028,2.816438356,5wetBEB,23,4
Lawrence Strip,4,6,12,wet,1085,BEB,15,1,3.009,0.921439936,11/27/10,2.773,,1,4/29/11,2.141,,0.772195823,153,0.419178082,6wetBEB,24,4
Lawrence Strip,4,6,12,wet,1086,BEB,15,1,3.024,0.921439936,11/27/10,2.786,,2,5/26/11,1.9934,,0.715394564,180,0.493150685,6wetBEB,24,4
Lawrence Strip,4,6,12,wet,1087,BEB,15,1,3.011,0.921439936,11/27/10,2.774,,3,8/1/11,1.375,,0.495592712,247,0.676712329,6wetBEB,24,4
Lawrence Strip,4,6,12,wet,1088,BEB,15,1,3.037,0.921439936,11/27/10,2.798,,4,9/27/11,1.257,,0.449183148,304,0.832876712,6wetBEB,24,4
Lawrence Strip,4,6,12,wet,1090,BEB,15,1,3.027,0.921439936,11/27/10,2.789,,5,10/2/12,1.104,,0.395812606,675,1.849315068,6wetBEB,24,4
Lawrence Strip,4,6,12,wet,1089,BEB,15,1,3.022,0.921439936,11/27/10,2.785,,6,9/20/13,1.122,,0.402931635,1028,2.816438356,6wetBEB,24,4
Central Pond,5,7,13&14,wet,1084,BEB,14,3,3.009,0.921439936,11/27/10,2.773,,1,4/29/11,2.1852,,0.788137465,153,0.419178082,7wetBEB,25,4
Central Pond,5,7,13&14,wet,1083,BEB,14,3,3.018,0.921439936,11/27/10,2.781,,2,5/26/11,2.1093,,0.758493889,180,0.493150685,7wetBEB,25,4
Central Pond,5,7,13&14,wet,1082,BEB,14,3,3.016,0.921439936,11/27/10,2.779,,3,8/1/11,1.531,,0.550905137,247,0.676712329,7wetBEB,25,4
Central Pond,5,7,13&14,wet,1079,BEB,14,3,3.033,0.921439936,11/27/10,2.795,,4,9/27/11,1.443,,0.516329442,304,0.832876712,7wetBEB,25,4
